"Dentrix Fee Schedule Export - Thursday, June 16, 2016 "
"Selected Fee Schedules: UCR"
Procedure Code,Abbrev Description,Description,UCR
D0366,Cap-Maxil,"CT Capture, Full Arch, Maxilla","0.00"
D0365,Cap-Mand,"CT Capture, Full Arch, Mandible","0.00"
D0364,Cap<1Jaw,"CT Capture, Lmtd View  < 1 Jaw","0.00"
D0191,Assess,"Assessment of Patient","0.00"
D0190,Screen,"Screening of Patient","0.00"
D0120,PeriodicX,"Periodic oral evaluation","55.00"
D0150,CompEx,"Comp oral eval-new/estab pat","95.00"
D0210,FMX,"Intraoral-complete series (bw)","150.00"
D1110,ProphyAd,"Prophylaxis-adult","120.00"
D1120,ProphyCh,"Prophylaxis-child","75.00"
D1201,ProphFlCh,"Prophylaxis with fluoride-child","95.00"
D1205,ProphFlAd,"Prophylaxis with fluoride-adult","140.00"
D2110,Amalg1Pri,"Amalgam-1 surface, primary","0.00"
D2120,Amalg2Pri,"Amalgam-2 surface, primary","120.00"
D2130,Amalg3Pri,"Amalgam-3 surface, primary","145.00"
D2131,Amalg4Pri,"Amalgam-4+ surface, primary","165.00"
D2140,Amalg1Per,"Amalgam-1 surf. prim/perm","125.00"
D2150,Amalg2Per,"Amalgam-2 surf. prim/perm","155.00"
D2160,Amalg3Per,"Amalgam-3 surf. prim/perm","185.00"
D2161,Amalg4Per,"Amalgam-4+ surf. prim/perm","225.00"
D7110,ExtSingTh,"Extraction-single tooth","200.00"
D0220,PA1st,"Intraoral-periapical-1st film","20.00"
D0230,PAadd,"Intraoral-periapical-each add'l","10.00"
D0240,OcclusalX,"Intraoral-occlusal film","0.00"
D0250,Extraor1s,"Extraoral-first film","0.00"
D0260,ExtraorX+,"Extraoral-each additional film","0.00"
D0270,BW1Xray,"Bitewing-single film","20.00"
D0272,2BWX,"Bitewings-two films","35.00"
D0290,SurvXray,"Skull &facial bone survey film","0.00"
D0274,4BWX,"Bitewings-four films","50.00"
D0320,TMJarthro,"TMJ arthrogram, incl injection","0.00"
D0321,OtherTMJX,"Other TMJ films, by report","0.00"
D0330,Pano,"Panoramic film","0.00"
D0340,Cephalo,"Cephalometric film","0.00"
D0425,CarisTest,"Caries susceptibility tests","0.00"
D0415,BactStud,"Collection of microorg culture","0.00"
D0460,PulpVitTe,"Pulp vitality tests","0.00"
D0470,DiagCasts,"Diagnostic casts","95.00"
D0471,DiagPhoto,"Diagnostic photographs","0.00"
D0501,HistoExam,"Histopathologic examinations","0.00"
D0502,OthPath,"Other oral path procedure, B/R","0.00"
D0999,UnspDiag,"Unspecified diag procedure, B/R","0.00"
D1203,FluoridCh,"Fluoride w/o prophylaxis-child","45.00"
D1204,FlouridAd,"Fluoride w/o prophylaxis-adult","45.00"
D1310,NutriCnsl,"Nutritional counseling","0.00"
D1330,OralHygIn,"Oral hygiene instruction","45.00"
D1351,Sealant,"Sealant-per tooth","65.00"
D1510,SpMFixUni,"Space maint-fixed-unilateral","250.00"
D1515,SpMFixBil,"Space maint-fixed-bilateral","350.00"
D1520,SpMRemUni,"Space maint-remov-unilateral","0.00"
D1525,SpMRemBil,"Space maint-remov-bilateral","0.00"
D1550,Recement,"Recementation of space maint","0.00"
D2210,Silicate,"Silicate cement-per restorat.","0.00"
D2710,CrwnResLb,"Crown-resin composite(indirect)","750.00"
D2720,CrwnResHN,"Crown-resin w/high noble metal","0.00"
D2721,CrwnResBm,"Crown-resin w/ most base metal","0.00"
D2722,CrwnResNm,"Crown-resin with noble metal","0.00"
D2740,CrwnPrCrS,"Crown-porcelain/ceramic poster","1,200.00"
D2750,CrnPrFHnM,"Crown-porc fuse high noble mtl","1,000.00"
D2751,CrwnPrFBm,"Crown-porc fused to base metal","950.00"
D2752,CrnPrFNm,"Crown-porc fused noble metal","1,000.00"
D2790,CrnFlcHNm,"Crown-full cast high noble mtl","1,200.00"
D2791,CrnFlcBm,"Crown-full cast base metal","850.00"
D2792,CrnFlcNm,"Crown-full cast noble metal","1,200.00"
D2810,Crn3/4Cm,"Crown-3/4 cast metallic","0.00"
D3310,RtCnThrAn,"Root canal therapy - anterior","850.00"
D3320,RtCnThrBi,"Root canal therapy - bicuspid","950.00"
D3330,RtCnThrMo,"Root canal therapy - molar","1,200.00"
D5110,ComUpDen,"Complete denture - maxillary","1,500.00"
D5120,ComLowDen,"Complete denture - mandibular","1,500.00"
D5130,ImmUpDen,"Immediate denture - maxillary","1,800.00"
D5140,ImmLowDen,"Immediate denture - mandibular","1,800.00"
D5211,UpParRsBs,"Maxillary partial - resin base","850.00"
D5212,LwParRsBs,"Mandibular partial - resin base","850.00"
D5213,UpParMtBs,"Maxil partial-metal Base W/sdls","1,800.00"
D5214,LwParMtBs,"Mand partial-metal base w/sdls","1,800.00"
D6210,PntcCtHNM,"Pontic-cast high noble metal","950.00"
D6211,PntcCtPdB,"Pontic-cast predominantly base","900.00"
D6212,PntcCtNM,"Pontic-cast noble metal","950.00"
D6240,PntcPrFHN,"Pontic-porcelain fused to hnob","1,200.00"
D6241,PntcPrFBs,"Pontic-porcelain fused to base","900.00"
D6242,PntcPrFNb,"Pontic-porcelain fused to nobl","950.00"
D6250,PntcRsHNM,"Pontic-resin w/ high noble met","0.00"
D6251,PntcRsPdB,"Pontic-resin w/ predomnt base","0.00"
D6252,PntcRsNM,"Pontic-resin with noble metal","0.00"
D6720,RtCrnRsHN,"Retainer crn-res w/ hi nob met","0.00"
D6721,RtCrnRsBM,"Retainer crn-resin w/ base met","0.00"
D6722,RtCrnRsNM,"Retainer crn-resin w/ nob met","0.00"
D6750,RtCrnPFHn,"Retainer crn-porc fused-hi nob","1,200.00"
D6751,RtCrnPrFB,"Retainer crn-porc fuse-base met","900.00"
D6752,RtCrnPrFN,"Retainer crn-porc fused-nob met","1,200.00"
D6780,RtCrn3/4,"Retainer crn-3/4 cast h nob met","0.00"
