ADA Code,Dentist Description,Patient Friendly Description,Procedure Categories for Wizard setup for Dentists,Categories for patient price comparison (Phase 2)
,,,,
DIAGNOSTIC,DIAGNOSTIC,DIAGNOSTIC,,
D0120,Periodic oral evaluation,Routine Exam,Exam,
D0140,Limited oral evaluation,Limited Exam,Exam,
D0145,Oral evaluation < 3 yrs of age,Exam For Child Under 3,Exam,
D0150,Comp oral eval-new/estab pat,New Patient Exam,Exam,
D0160,"Detail/extensive oral eval, B/R",Detailed/Extensive Exam,Exam,
D0170,Limited re-evaluation estab pat,Limited Re-evaluation,Exam,
D0180,Comprehensive perio evaluation,Comprehensive Gum Exam,Exam,
D0210,Intraoral-complete series (bw),Full Mouth Xrays,Xrays,
D0220,Intraoral-periapical-1st film,Single Periapical Xray,Xrays,
D0230,Intraoral-periapical-each add'l,Additional Periapical Xray,Xrays,
D0240,Intraoral-occlusal film,Occlusal Xray,Xrays,
D0250,Extraoral-first film,First External Film Xray,Xrays,
D0260,Extraoral-each additional film,Additional External Film Xray,Xrays,
D0270,Bitewing-single film,Single Bitewing Xray,Xrays,
D0272,Bitewings-two films,Two Bitewing Xrays,Xrays,
D0273,Bitewings-three films,Three Bitewing Xrays,Xrays,
D0274,Bitewings-four films,Four Bitewing Xrays,Xrays,
D0277,Vertical bitewings-7 to 8 films,Vertical Bitewing Xrays,Xrays,
D0290,Skull &facial bone survey film,Skull/Facial Bone Survey Xray,,
D0310,Saliography,Saliva Gland Xray,,
D0320,"TMJ arthrogram, incl injection",Jaw Joint Xray with Contrast Material,,
D0321,"Other TMJ films, by report",Other Jaw Joint Xray,,
D0322,Tomographic survey,Bony Joints/Surface Mapping Xray,,
D0330,Panoramic film,Panoramic Xray,,
D0340,Cephalometric film,Cephalometric Xray,,
D0350,Oral/Facial Photographic Images,Photographs,,
D0360,Cone beam ct-craniofacial data,Cone Beam Xray,Cone Beam Xray,
D0362,Cone beam-2D multi img reconst,Cone Beam Xray,Cone Beam Xray,
D0363,Cone beam-3D multi img reconst,Cone Beam Xray,Cone Beam Xray,
D0364,"CT Capture, Lmtd View < 1 Jaw",CT Scan - Limited w/ Interpretation,,
D0365,"CT Capture, Full Arch, Mandible",CT Scan - Lower Jaw  w/ Interpretation,,
D0366,"CT Capture, Full Arch, Maxilla",CT Scan - Upper Jaw  w/ Interpretation,,
D0367,"CT Capture, Both Jaws",CT Scan - Upper and Lower Jaws  w/ Interpretation,,
D0368,"CT Capture, TMJ, 2+ Exposures",CT Scan - Jaw Joints  w/ Interpretation,,
D0369,Maxillofacial MRI Capture,Facial MRI w/ interpretation,,
D0370,Maxillofacial Ultrasnd Capture,Facial Ultrasound w/ interpretation,,
D0371,Sialoendoscopy Capture,Sialoendoscopy Capture,,
D0380,"CT Image, Lmtd View < 1 Jaw",CT Scan - Limited,,
D0381,"CT Image, Full Arch, Mandible",CT Scan - Lower Jaw ,,
D0382,"CT Image, Full Arch, Maxilla",CT Scan - Upper Jaw ,,
D0383,"CT Image, Both Jaws",CT Scan - Upper and Lower Jaws ,,
D0384,"CT Image, TMJ, 2+ Exposures",CT Scan - Jaw Joints  ,,
D0385,Maxillofacial MRI Image,Facial MRI,,
D0386,Maxillofacial Ultrasnd Image,Facial Ultrasound ,,
D0391,"Inter. Diagnostic Img, Oth Prov","Inter. Diagnostic Img, Oth Prov",,
D0393,Treatment sim. using 3D Imgs,Treatment Simulation,,
D0394,Digital Subtraction of 2+ Imgs,Digital Subtraction of Two or more images,,
D0395,3D image fusion,Fusion of Two or more 3D Image Volumes,,
D0415,Collection of microorg culture,Swab for Microorganism Culture,,
D0416,Viral Culture,Viral Culture,,
D0417,Collection of saliva sample,Saliva Sample,,
D0418,Analysis of saliva sample,Analysis of saliva sample,,
D0421,Genetic test-suscept oral dis,Genetic Testing for Oral Disease,,
D0425,Caries susceptibility tests,Caries susceptibility tests,,
D0431,Adjunc pre-diag test-detect muc,Pre-diagnostic test to help detect abnormalities of mucous membranes in the mouth,,
D0460,Pulp vitality tests,Pulp vitality tests,Exam,
D0470,Diagnostic casts,Diagnostic casts,Exam,
