ADA Code,Dentist Description,Patient Friendly Description,Procedure Categories for Wizard setup for Dentists,Categories for patient price comparison (Phase 2)
,,,,
DIAGNOSTIC,DIAGNOSTIC,DIAGNOSTIC,,
D0120,Periodic oral evaluation,Routine Exam,Exam,
D0140,Limited oral evaluation,Limited Exam,Exam,
D0145,Oral evaluation < 3 yrs of age,Exam For Child Under 3,Exam,
D0150,Comp oral eval-new/estab pat,New Patient Exam,Exam,
D0160,"Detail/extensive oral eval, B/R",Detailed/Extensive Exam,Exam,
D0170,Limited re-evaluation estab pat,Limited Re-evaluation,Exam,
D0180,Comprehensive perio evaluation,Comprehensive Gum Exam,Exam,
D0210,Intraoral-complete series (bw),Full Mouth Xrays,Xrays,
D0220,Intraoral-periapical-1st film,Single Periapical Xray,Xrays,
D0230,Intraoral-periapical-each add'l,Additional Periapical Xray,Xrays,
D0240,Intraoral-occlusal film,Occlusal Xray,Xrays,
D0250,Extraoral-first film,First External Film Xray,Xrays,
D0260,Extraoral-each additional film,Additional External Film Xray,Xrays,
D0270,Bitewing-single film,Single Bitewing Xray,Xrays,
D0272,Bitewings-two films,Two Bitewing Xrays,Xrays,
D0273,Bitewings-three films,Three Bitewing Xrays,Xrays,
D0274,Bitewings-four films,Four Bitewing Xrays,Xrays,
D0277,Vertical bitewings-7 to 8 films,Vertical Bitewing Xrays,Xrays,
D0290,Skull &facial bone survey film,Skull/Facial Bone Survey Xray,,
D0310,Saliography,Saliva Gland Xray,,
D0320,"TMJ arthrogram, incl injection",Jaw Joint Xray with Contrast Material,,
D0321,"Other TMJ films, by report",Other Jaw Joint Xray,,
D0322,Tomographic survey,Bony Joints/Surface Mapping Xray,,
D0330,Panoramic film,Panoramic Xray,,
D0340,Cephalometric film,Cephalometric Xray,,
D0350,Oral/Facial Photographic Images,Photographs,,
D0360,Cone beam ct-craniofacial data,Cone Beam Xray,Cone Beam Xray,
D0362,Cone beam-2D multi img reconst,Cone Beam Xray,Cone Beam Xray,
D0363,Cone beam-3D multi img reconst,Cone Beam Xray,Cone Beam Xray,
D0364,"CT Capture, Lmtd View < 1 Jaw",CT Scan - Limited w/ Interpretation,,
D0365,"CT Capture, Full Arch, Mandible",CT Scan - Lower Jaw  w/ Interpretation,,
D0366,"CT Capture, Full Arch, Maxilla",CT Scan - Upper Jaw  w/ Interpretation,,
D0367,"CT Capture, Both Jaws",CT Scan - Upper and Lower Jaws  w/ Interpretation,,
D0368,"CT Capture, TMJ, 2+ Exposures",CT Scan - Jaw Joints  w/ Interpretation,,
D0369,Maxillofacial MRI Capture,Facial MRI w/ interpretation,,
D0370,Maxillofacial Ultrasnd Capture,Facial Ultrasound w/ interpretation,,
D0371,Sialoendoscopy Capture,Sialoendoscopy Capture,,
D0380,"CT Image, Lmtd View < 1 Jaw",CT Scan - Limited,,
D0381,"CT Image, Full Arch, Mandible",CT Scan - Lower Jaw ,,
D0382,"CT Image, Full Arch, Maxilla",CT Scan - Upper Jaw ,,
D0383,"CT Image, Both Jaws",CT Scan - Upper and Lower Jaws ,,
D0384,"CT Image, TMJ, 2+ Exposures",CT Scan - Jaw Joints  ,,
D0385,Maxillofacial MRI Image,Facial MRI,,
D0386,Maxillofacial Ultrasnd Image,Facial Ultrasound ,,
D0391,"Inter. Diagnostic Img, Oth Prov","Inter. Diagnostic Img, Oth Prov",,
D0393,Treatment sim. using 3D Imgs,Treatment Simulation,,
D0394,Digital Subtraction of 2+ Imgs,Digital Subtraction of Two or more images,,
D0395,3D image fusion,Fusion of Two or more 3D Image Volumes,,
D0415,Collection of microorg culture,Swab for Microorganism Culture,,
D0416,Viral Culture,Viral Culture,,
D0417,Collection of saliva sample,Saliva Sample,,
D0418,Analysis of saliva sample,Analysis of saliva sample,,
D0421,Genetic test-suscept oral dis,Genetic Testing for Oral Disease,,
D0425,Caries susceptibility tests,Caries susceptibility tests,,
D0431,Adjunc pre-diag test-detect muc,Pre-diagnostic test to help detect abnormalities of mucous membranes in the mouth,,
D0460,Pulp vitality tests,Pulp vitality tests,Exam,
D0470,Diagnostic casts,Diagnostic casts,Exam,
D0471,Diagnostic photographs,Diagnostic photographs,Exam,
D0472,"Accession of tiss, gr exam/rpt",Lab examination of oral tissue and preparation of report of findings,,
D0473,"Acc of tissue, gr mic exam/rpt",Lab examination of oral tissue and preparation of report of findings,,
D0474,Acc of tiss-gr mic ex surg mar,Lab examination of oral tissue and preparation of report of findings,,
D0475,Decalcification Procedure,Lab removal of calcium salts to allow for microscopic examination of tissue,,
D0476,Special stains for microorg,Staining for Microorganisms,,
D0477,Special stains-not for microorg,Stains applied to a biopsy or surgical specimen in a lab to help with diagnosis,,
D0478,Immunohistochemical stains,Lab application to tissue samples to help with diagnosis,,
D0479,Tissue in-situ hybrid-inclu int,Lab procedure to help with the diagnosis of microorganisms and tumors,,
D0480,Process/interpret exf cyt smear,Mild scraping of mucous membranes in the mouth and preparation of lab report of findings,,
D0481,Electron microscopy-diagnostic,Extremely high magnification in a lab to diagnose cell components and microorganisms,,
D0482,Direct immunofluorescence,Lab technique to identify localized immunoreactants,,
D0483,Indirect immunofluorescence,Lab technique to identify circulating immunoreactants,,
D0484,Consult on slides prp elsewhere,"Lab evaluation, consultation and report on microscopic slides of a biopsy specimen from another lab",,
D0485,Consult inc prep/slides biop mt,Slide preparation and report from consulting pathologist for slide evaluation,,
D0486,"Brush biopsy sample,exam,report",Brush Biopsy,,
D0501,Histopathologic examinations,Histopathologic examinations,,
D0502,"Other oral path procedure, B/R","Other oral path procedure, B/R",,
D0601,Caries risk assessment - Low,Caries risk assessment - Low,,
D0602,Caries risk assessment - Mod,Caries risk assessment - Mod,,
D0603,Caries risk assessment - High,Caries risk assessment - High,,
D0999,"Unspecified diag procedure, B/R",Other Diagnistic Procedure,,
PREVENTATIVE,PREVENTATIVE,PREVENTATIVE,,
D1110,Prophylaxis-adult,Simple cleaning-adult,Cleaning,CLEANING
D1120,Prophylaxis-child,Simple cleaning-child,Cleaning,CLEANING
D1201,Prophylaxis with fluoride-child,Simple cleaning with fluoride-child,Cleaning,
D1203,Fluoride w/o prophylaxis-child,Fluoride w/o cleaning-child,Fluoride,
D1204,Fluoride w/o prophylaxis-adult,Fluoride w/o cleaning-adult,Fluoride,
D1205,Prophylaxis with fluoride-adult,Simple cleaning with fluoride-adult,Cleaning,
D1206,Topical fluoride varnish,Fluoride Varnish,Fluoride,
D1208,Topical application of fluoride,Fluoride Application,Fluoride,
D1310,Nutritional counseling,Nutritional counseling,,
D1320,Tobacco counseling,Tobacco counseling,,
D1330,Oral hygiene instruction,Oral hygiene instruction,,
D1351,Sealant-per tooth,Sealant,Fillings,FILLINGS
D1352,"Preventive Restoration, Perm Th",White Preventive Filling,Fillings,FILLINGS
D1510,Space maint-fixed-unilateral,Fixed Space Maintainer - Unilateral,Space Maintainer,
D1515,Space maint-fixed-bilateral,Fixed Space Maintainer - Bilateral,Space Maintainer,
D1520,Space maint-remov-unilateral,Removable Unilateral Space Maintainer,Space Maintainer,
D1525,Space maint-remov-bilateral,Removable Bilateral Space Maintainer,Space Maintainer,
D1550,Recementation of space maint,Recementation of Space Maintainer,Space Maintainer,
D1555,Removal of fixed space maint,Removal of Space Maintainer,Space Maintainer,
D1999,"Unspecified prev procedure, B/R",Other Preventive Procedure,,
RESTORATIVE ,,,,
D2110,"Amalgam-1 surface, primary",One surface metal filling - baby teeth,Fillings,FILLINGS
D2120,"Amalgam-2 surface, primary",Two surface metal filling - baby teeth,Fillings,FILLINGS
D2130,"Amalgam-3 surface, primary",Three surface metal filling - baby teeth,Fillings,FILLINGS
D2131,"Amalgam-4+ surface, primary",Four surface metal filling - baby teeth,Fillings,FILLINGS
D2140,Amalgam-1 surf. prim/perm,One surface metal filling - adult teeth,Fillings,FILLINGS
D2150,Amalgam-2 surf. prim/perm,Two surface metal filling - adult teeth,Fillings,FILLINGS
D2160,Amalgam-3 surf. prim/perm,Three surface metal filling - adult teeth,Fillings,FILLINGS
D2161,Amalgam-4+ surf. prim/perm,Four surface metal filling - adult teeth,Fillings,FILLINGS
D2210,Silicate cement-per restorat.,Cement - Per restoration,,
D2330,"Resin-one surface, anterior",One surface White Fillings - Front Teeth,Fillings,FILLINGS
D2331,"Resin-two surfaces, anterior",Two surface White Fillings - Front Teeth,Fillings,FILLINGS
D2332,"Resin-three surfaces, anterior",Three surface White Fillings - Front Teeth,Fillings,FILLINGS
D2335,Resin-4+ w/incis angle-anterior,Four surface White Fillings - Front Teeth,Fillings,FILLINGS
D2336,Compos resin crwn-anterior-prim,White Chairside Resin Crown - Front baby teeth,Crown/Onlay/Inlay,
D2380,"Resin-1 surface, poster-primary",One surface White Fillings - Back Baby Teeth,Fillings,FILLINGS
D2381,"Resin-2 surface, poster-primary",Two surface White Fillings - Back Baby Teeth,Fillings,FILLINGS
D2382,"Resin-3 surface, poster-primary",Three surface White Fillings - Back Baby Teeth,Fillings,FILLINGS
D2390,"Resin composite crown, anterior",Four surface White Fillings - Back Baby Teeth,Fillings,FILLINGS
D2391,"Resin-1 surface, post-permanent",One surface White Fillings - Back Adult Teeth,Fillings,FILLINGS
D2392,"Resin-2 surface, post-permanent",Two surface White Fillings - Back Adult Teeth,Fillings,FILLINGS
D2393,"Resin-3 surface +, post-perm",Three surface White Fillings - Back Adult Teeth,Fillings,FILLINGS
D2394,"Resin composite-4+s, posterior",Four surface White Fillings - Back Adult Teeth,Fillings,FILLINGS
D2410,Gold foil-one surface,One Surface Gold Filling,,
D2420,Gold foil-two surfaces,Two Surface Gold Filling,,
D2430,Gold foil-three surfaces,Three Surface Gold Filling,,
D2510,Inlay-metallic-one surface,One Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2520,Inlay-metallic-two surfaces,Two Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2530,Inlay-metallic-three + surfaces,Three Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2542,Onlay-metallic-two surfaces,One Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2543,Onlay-metallic-three surfaces,Two Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2544,Onlay-metallic-four + surfaces,Three Surface Lab Processed Metal Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2610,Inlay-porcel/ceramic-1 surface,One Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2620,Inlay-porcel/ceramic-2 surface,Two Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2630,Inlay-porcel/ceramic-3+ surface,Three Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2642,Onlay-porcel/ceram-2 surface,One Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2643,Onlay-porcel/ceram-3 surface,Two Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2644,Onlay-porcel/ceram-4 + surface,Three Surface Lab Processed Porcelain Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2650,Inlay-resin based composite-1s,One Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2651,Inlay-resin based composite-2s,Two Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2652,Inlay-resin based composite-3+s,Three Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2662,Onlay-resin based composite-2s,One Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2663,Onlay-resin based composite-3s,Two Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2664,Onlay-resin based composite-4+s,Three Surface Lab Processed Resin Restoration,Crown/Onlay/Inlay,CROWNS/CAPS
D2710,Crown-resin composite(indirect),Full Resin Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2712,Crown-3/4 resin-based comp-ind,Partial Resin Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2720,Crown-resin w/high noble metal,Full Resin/Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2721,Crown-resin w/ most base metal,Full Resin/Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2722,Crown-resin with noble metal,Full Resin/Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2740,Crown-porcelain/ceramic poster,Full Porcelain Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2750,Crown-porc fuse high noble mtl,Full Porcelain Fused to Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2751,Crown-porc fused to base metal,Full Porcelain Fused to Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2752,Crown-porc fused noble metal,Full Porcelain Fused to Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2780,Crown-3/4 cast high noble metal,Partial Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2781,Crown-3/4 cast most base metal,Partial Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2782,Crown-3/4 cast noble metal,Partial Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2783,Crown-3/4 porcelain/ceramic,Partial Porcelain Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2790,Crown-full cast high noble mtl,Full Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2791,Crown-full cast base metal,Full Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2792,Crown-full cast noble metal,Full Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2794,Crown-titanium,Full Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2799,Provisional crown,Temporary Crown,,
